pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,7,2603,"AB, Am","A. Bhanarkar, A. Middey",APC,EE,"Stack Emission Monitoring And Performance Evaluation Of Esps At 2 × 660 Mw Units Of Shree Singaji Thermal Power Project (sstpp), Khandwa, M. P.","Shree Singaji Thermal Power Project (sstpp), Khandwa, M. P.",44044,44408,45016,15,ONG,Environmental Engineering,Power Plant Engineering,Air Pollution Control,Electrostatic Precipitators,Stack Emission Monitoring Techniques,Performance Evaluation Of Esps,Thermal Power Generation,Energy Efficiency,Data Analysis And Interpretation,Regulatory Compliance And Reporting.,,,,,,,,
CNP,7,2604,ARK,A. Ramesh Kumar,SHWM,Nil,"Detailed Site Assessment Of Pambar Shola And Pambar River In Down Gradient Direction Of The Closed Thermometer Factory Of Hindustan Unilever Ltd, Kodaikanal To Ascertain The Extent Of Mercury Contamination","Hindustan Unilever Ltd, Kodaikanal",44075,44804,45016,40.5,ONG,Environmental Science,Water Quality Analysis,Soil Science,Geology,Hydrology,Chemistry,Toxicology,Risk Assessment,Environmental Law And Regulations,Remediation Techniques.,,,,,,,,
GAP,2,2605,KK,K. Khairnar,EVC,Nil,Expenditure Met For Covid-19 Testing Centre Chemical And Consumables,"District Collector, Nagpur",44136,44286,,2 8,ONG,Healthcare And Medical Supplies,Laboratory Equipment And Supplies,Chemicals And Reagents,Budgeting And Financial Management,Procurement And Supply Chain Management,Public Health Policies And Regulations,Epidemiology And Disease Control,Data Analysis And Reporting,Risk Management And Contingency Planning,Project Management And Coordination.,,,,,,,,
GAP,1,2606,KK,K. Khairnar,EVC,Nil,Expenditure Met For Covid-19 Testing Centre Manpower,"Department Of Biotechnology (dbt), New Delhi",44136,44286,,20,ONG,Healthcare Management,Public Health Policy,Epidemiology,Human Resources Management,Financial Management,Budgeting And Forecasting,Data Analysis And Reporting,Project Management,Risk Management,Crisis Management,,,,,,,,
CNP,2,2607,"ANV, SYB","A. N. Vaidya, S. Y. Bodkhe",SHWM,SHWM,Assessment Of The Probable Contaminated Sites In The State Of Maharashtra,"Maharashtra Pollution Control Board (mpcb), Mumbai",44105,44834,45199,120,ONG,Environmental Science,Geology,Soil Science,Hydrology,Chemistry,Toxicology,Gis And Remote Sensing,Environmental Law And Policy,Risk Assessment,Site Investigation And Remediation Techniques,,,,,,,,
CNP,3,2608,DM,D. Majumdar,KZC,EM,Projection Of Environmental Social And Potential Economic Benefits Of Mechanized Under First Mile Connectivity Project,"Coal India Ltd., Rajarhat (w.b.)",44076,45016,,5 8,ONG,Environmental Science,Social Science,Economics,Transportation Engineering,Sustainable Development,Energy Efficiency,Climate Change Adaptation And Mitigation,Public Policy,Rural Development,Data Analysis And Visualization.,,,,,,,,
CNP,7,2609,"SB, SRS","S. Basha, S, Ramya Sanam",HZC,EM,Environmental Assessment Of Pollution Load At Grasim Renukoot Chemical Division,"Grasim Industries Ltd., Renukoot, Sonebhadra (u.p.)",44105,44834,,23,ONG,Environmental Science,Chemical Engineering,Industrial Pollution Control,Water Quality Management,Air Quality Management,Waste Management,Environmental Monitoring And Analysis,Environmental Impact Assessment,Sustainable Development,Environmental Law And Policy.,,,,,,,,
GAP,1,2610,AS,A. Sargaonkar,CTMD,EM,Sfra-wds:development Of Database Standardization Framework To Facilitate Decision Making In Water Distribution System,"Department Of Science & Technology (dst), New Delhi",44102,45016,,50.83,ONG,Water Distribution Systems,Database Management,Data Analysis,Decision-making Processes,Standardization Frameworks,Water Quality Monitoring,Water Resource Management,Geographic Information Systems,Environmental Engineering,Regulatory Compliance In Water Management.,,,,,,,,
TSP,1,2611,PRS,P. R. Salve,HRMG,HRD,Human Resource Management For Project Staff And Trainees For Internship/dissertation,Project Assistants/project Trainees/staff,44137,45230,,30,ONG,Recruitment And Selection,Training And Development,Performance Management,Compensation And Benefits,Employee Relations,Legal Compliance,Leadership And Management,Diversity And Inclusion,,Hr Information Systems,,,,,,,,
CNP,7,2612,"PRP, SD","P. R. Pujari, S. Dhyani",WTMD,EM,Impact Assessment Study Of Ash Disposal In The Mine Void At Quarry No. 4 Of The Abandoned Jagannath Opencast Mine Pit Of M/s. Tata Steel Bsl On Groundwater Quality And Flora And Fauna In The Micro-watershed Surrounding The Pit,"Tata Steel Bsl Limited, Dhenkanal (odisha)",44166,44651,,12,ONG,Environmental Science,Geology,Hydrology,Ecology,Botany,Zoology,Soil Science,Chemistry,Mining Engineering,Waste Management,,,,,,,,
CNP,7,2613,"SG, SK, SKG","S. Gulia, S. Kaur, S. K. Goyal","DZC, MZC",EM,Air Purifications System At Traffic/polluted Locations Of Gurugram City,"Indian Pollution Control Association (ipca), New Delhi",44105,44651,44926,17,ONG,Air Pollution,Air Quality Monitoring And Analysis,Air Pollution Monitoring And Measurement Techniques,Hvac Systems And Their Role In Air Purification,Indoor Air Pollution,Environmental Regulations And Policies,Sustainable And Energy-efficient Air Purification Solutions,Maintenance And Upkeep Of Air Purification Systems,Cost-benefit Analysis Of Air Purification Systems,Public Awareness And Education On Air Pollution And Its Mitigation.,,,,,,,,
CNP,7,2614,"NAK, SKG","N. A. Khan, S. K. Goyal",DZC,EM,"Feasibility Study For Use Of Etp/stp Treated Water As Process Water At M/s. Cl Gupta Exports Ltd. Amroha, U.p.","Cl Gupta Exports Ltd. Amroha, U.p.",44105,44651,,10,ONG,Environmental Engineering,Water Treatment Technology,Industrial Process Engineering,Chemical Engineering,Water Quality Analysis,Project Management,Cost-benefit Analysis,Regulatory Compliance,Risk Assessment,Sustainability And Corporate Social Responsibility.,,,,,,,,
CNP,1,2615,"PM, SKG","P. Mandal, S. K. Goyal",DZC,EM,Inspection Of Grossly Polluting Industries (90 Nos.) In River Ganga And Yamuna Basin,"Central Pollution Control Board (cpcb), Delhi",44105,44651,45107,40.5,ONG,Environmental Science,Water Quality Management,Industrial Pollution Control,Chemical Engineering,Environmental Law And Policy,Waste Management,Water Resource Management,Environmental Monitoring And Assessment,Sustainable Development,Public Health And Safety,,,,,,,,
CNP,7,2616,PM,P. Manekar,WWT,ESDMO,"Development Of Sustainable Solutions For Effective Utilization Of Treated Domestic Wastewate For Achieving Zero Liquid Discharge At Hindalco, Renukoot","Hindalco Industries Ltd., Renukoot (u.p.)",44168,44712,45138,15,ONG,Wastewater Treatment Technologies,Water Management,Environmental Engineering,Chemical Engineering,Sustainable Development,Industrial Ecology,Water Quality Analysis,Process Optimization,Energy Efficiency,Life Cycle Assessment,,,,,,,,
CNP,7,2642,HB,H. Bherwani,DRC,MA,Overseeing Of Compliance Requirements For Proposed Greenfield Goa International Airport At Mopa,"Gmr Goa International Airport Ltd.,goa",44197,46022,,176,ONG,Environmental Regulations And Compliance,Aviation Regulations And Compliance,Land Acquisition And Zoning Regulations,Construction And Engineering Regulations,Safety And Security Regulations,Financial Regulations And Compliance,Government Policies And Procedures,Stakeholder Management And Community Engagement,Project Management And Planning,Risk Management And Mitigation Strategies.,,,,,,,,
TSP,1,2618,HVS,H. V. Singh,TSDCBG,SD,Training Skill Development And Capacity Building Programme In Environmental Science And Engineering,"Dept Of Civil Engineering Govt. Collage Of Technology, Coimbatore",44166,45260,,20,ONG,Environmental Science And Engineering,Curriculum Development,Instructional Design,Adult Learning Theory,Program Evaluation,Project Management,Environmental Regulations And Policies,Sustainable Development,Environmental Monitoring And Assessment,Communication And Outreach Strategies.,,,,,,,,
CNP,7,2619,"SK,PVN","S.Kumar,P. V. Nidheesh",EISD,EISD,"Rapid Environmental Impact And Risk Assessment Study For The Proposed Project Of M/s Reliance Industries Limited (ril), Motikhavdi, Jamnagar, Gujarat",Reliance Industries Limited,44197,45291,,148,ONG,Environmental Science,Risk Assessment,Environmental Impact Assessment,Chemical Engineering,Industrial Safety,Ecology,Geology,Hydrology,Air Quality Management,Waste Management,,,,,,,,
CNP,7,2620,AA,A. Anshul,ERMD,EDCA,"Preparation Of Detailed Project Report Of The Construction Monitoring And Assessment Of The Containment System For Mine Backfilling With Red Mud At Utkal Alumina International Limited (uail),hindalco Plant","Uail Hindalco Industries Ltd., Doraguda, Rayagada (odisha).",44166,45260,,60,ONG,Mining Engineering,Civil Engineering,Geotechnical Engineering,Environmental Engineering,Chemical Engineering,Materials Science,Project Management,Risk Assessment And Management,Financial Analysis And Modeling,Regulatory Compliance And Permitting.,,,,,,,,
CNP,7,2621,"SB,SRS","S.Basha, S.R.Sanam",HZC,EM,"Assessment Of Groundwater Quality In And Around Divi's Laboratories Ltd., Vishakhapatnam","Divi's Laboratories Ltd., Vishakhapatnam",44197,44560,,11.8,ONG,Groundwater Hydrology,Water Quality Analysis,Environmental Chemistry,Geology And Soil Science,Toxicology And Risk Assessment,Environmental Regulations And Policies,Industrial Wastewater Treatment,Groundwater Modeling And Simulation,Statistical Analysis And Data Interpretation,Gis And Remote Sensing Techniques For Mapping And Monitoring Groundwater Quality.,,,,,,,,
CNP,7,2622,"GK, AM","G. Khadse, A. Maldhure",WTMD,EM,"Evaluation Of ""self Sustained Auto Backwash Iron Removal Plant"" Installed For Safe Drinking Water Supply In Iron Affected Area Of KorbA.D.Bhanarkaristrict, Chhattisgarh",M.a. Corporation Jashpur (c.g.),44175,44904,45107,15,ONG,Water Treatment Technologies,Iron Removal Processes,Water Quality Analysis,Environmental Engineering,Chemical Engineering,Mechanical Engineering,Electrical Engineering,Project Management,Public Health And Safety,Community Development And Engagement,,,,,,,,
CNP,7,2623,"SB, SRS","S. Basha, S. R. Sanam",HZC,EM,"Technical Appraisal And Validation Of The Biological Treatment System Of New Wastewater Treatment Complex And Subsequent Performance Evaluation After Commissioning For Divis Laboratories Ltd., Vishakhapatnam","Divi's Laboratories Ltd., Vishakhapatnam (a.p.)",44166,44895,45016,1 4,ONG,Wastewater Treatment Processes And Technologies,Biological Treatment Systems,Chemical And Biological Analysis Of Wastewater,Environmental Regulations And Compliance,Project Management And Planning,Quality Control And Assurance,Instrumentation And Control Systems,Health And Safety Protocols,Data Analysis And Interpretation,Technical Report Writing And Presentation Skills.,,,,,,,,
CNP,2,2624,"SB,TVBPSRK,SRS","S.Basha, T.V.B.P.S.R Krishna,S. R. Sanam",HZC,EM,"Compliance Monitoring And Assessment Of Ambiant Air Quality, Noise Levels And Water Quality At Polavaram, W. G. Dist., Andhra Pradesh",P.i.p.h.w. Div. Polavaram,44136,45230,,8 45,ONG,Environmental Science,Air Quality Monitoring,Noise Pollution Monitoring,Water Quality Monitoring,Environmental Compliance,Environmental Law And Regulations,Data Analysis And Interpretation,Geographic Information Systems,Risk Assessment,Project Management.,,,,,,,,
CNP,7,2625,"MK,SRS","M.Kalita, S . R. Sanam",HZC,EM,"Assessment Of The Mercury Bearing Sludge Ground Water And Soil Around The Accured Landfill Sites Of Chemical Division, Grasim Industries","Grasim Industries Ltd., Renukoot (u.p.)",44105,44469,44651,75,ONG,Environmental Science,Chemistry,Geology,Hydrology,Toxicology,Waste Management,Environmental Engineering,Soil Science,Groundwater Remediation,Risk Assessment,,,,,,,,
CNP,7,2626,"TVBPSRK, SRS","T.V.B.P.S Rama Krishna,S.R Sanam",HZC,EM,Biannual Environment Assessment For Grasim Renukoot Chemical Division,"Grasim Industry Ltd., Renukoot (u.p)",44105,45199,,21.25,ONG,Environmental Science,Chemical Engineering,Industrial Ecology,Environmental Law And Policy,Environmental Management Systems,Pollution Control Technologies,Life Cycle Assessment,Sustainable Development,Environmental Impact Assessment,Corporate Social Responsibility.,,,,,,,,
TSP,7,2627,"RJK,SR","R. J.Krupadam, S. Rayalu",EMD,EM,A New Material For Improved Fire-lighter Formulation,"Vel Matches Pvt. Ltd., Sivakasi",44157,44521,44651,5061,ONG,Chemistry,Materials Science,Chemical Engineering,Combustion Science,Environmental Science,Safety Engineeringq,Product Development,,,,,,,,,,,
TSP,7,2628,MSK,M.S.Kumar,EISD,EISD,Third-party Audit On The Environment Management System And Report Submission,"Coromandel International Ltd., Munirabad (karnataka)",44075,44804,,75,ONG,Environmental Regulations And Compliance,Environmental Management Systems Ems,Iso 14001 Standards,Environmental Auditing Techniques,Environmental Risk Assessment,Environmental Impact Assessment,Environmental Monitoring And Reporting,Environmental Sustainability Practices,Environmental Policy Development And Implementation,Environmental Performance Measurement And Evaluation.,,,,,,,,
TSP,7,2629,RJK,R. J.Krupadam,EMD,EM,Development Of Inorganic Frameworks And Associated Treatment System For Removal Of Color From Industrial Effluents,"Rudraksha Allied Chemical Pvt.ltd., Nagpur",44126,44490,,5,ONG,Inorganic Chemistry,Materials Science,Chemical Engineering,Environmental Engineering,Water Treatment Technology,Industrial Wastewater Treatment,Adsorption Processes,Catalysis,Spectroscopy,Analytical Chemistry,,,,,,,,
CNP,3,2630,"NK,KVG","N. Kamal, K.V George",APC,SAEI,"Source Apportionment Study At Singrauli Region And Capacity Building Of Environmental Monitoring And Management Of Northern Coalfields Limited, Singrauli, Madhya Pradesh","Northern Coalfields Ltd.(ncl), Singrauli (m.p.)",43983,44926,45107,696,ONG,Environmental Science,Air Quality Monitoring,Water Quality Monitoring,Soil Quality Monitoring,Industrial Pollution Control,Environmental Impact Assessment,Statistical Analysis,Geographic Information System Gis,Environmental Law And Policy,Project Management,,,,,,,,
CNP,2,2631,ANV,A.N. Vaidya,SHWM,SHWM,"Performance Evaluation Audit And Monitoring Of Chwtsdf Facilities Mwml, Ttcwma, Vepl And Mepl","Maharashtra Pollution Control Board (mpcb), Mumbai",44197,45291,,75,ONG,Water And Sanitation Engineering,Environmental Health,Public Health,Project Management,Monitoring And Evaluation,Data Analysis And Interpretation,Community Development,Policy Analysis And Development,Risk Assessment And Management,Capacity Building And Training.,,,,,,,,
CNP,3,2632,PRP,P. R. Pujari,WTMD,EM,Hydrogeological Study Of Proposed 800 Mw Ausc Unit At Ntpc Sipat,"Ntpc Ltd, Ujwal Nagar (c.g.)",44166,44895,,3 83,ONG,Hydrogeology,Geology,Environmental Science,Engineering Geology,Groundwater Modeling,Water Resource Management,Hydrological Analysis,Geotechnical Engineering,Soil Science,Environmental Impact Assessment,,,,,,,,
CNP,2,2633,NG,N. Goyal,MZC,EM,Study Air Quality Monitoring And Emission Source Apportionment Studies,"Maharashtra Pollution Control Board (mpcb), Mumbai",,,,350,ONG,Environmental Science,Atmospheric Science,Chemistry,Physics,Statistics,Data Analysis,Engineering,Public Health,Policy And Regulations,Geographic Information Systems,,,,,,,,
GAP,1,2634,PKN,P.K. Naoghare,EISD,EISD,"Transport, Fate And Management Of Emerging Contaminants And Endocrine Disruptors In Selected Vulnerable Mangrove Swamps In India","Department Of Science & Technology (dst), New Delhi",44197,45291,,5 6226,ONG,Environmental Science,Chemistry,Toxicology,Ecology,Marine Biology,Environmental Engineering,Environmental Policy,Geology,Hydrology,Biotechnology,,,,,,,,
CNP,4,2635,RB,R. Biniwale,CTMD,EE,"Impact Assessment Of Coal Mines And Thermal Power Plant On Wildlife Of Tadoba Andheri Tiger Reserve, Chandrapur","Mspgcl-ctps, Chandrapur",44215,45310,,200.29,ONG,Wildlife Biology And Ecology,Environmental Science And Sustainability,Mining And Mineral Extraction,Energy Production And Distribution,Habitat Fragmentation And Degradation,Biodiversity Conservation And Management,Wildlife Behavior And Population Dynamics,Geographic Information Systems And Remote Sensing,Statistical Analysis And Modeling,Policy And Policy And Regulatory Frameworksfor Wildlife Protection And Management.,,,,,,,,
CNP,7,2636,"TVBPSRK,SRS","T.V.B.P.S. Rama Krishna, S.R. Sanam",HZC,EM,"Environment Audit Of The Secured Landfill Site Of Chemical Division, Grasim Industries Ltd., Rehla, Jharkhand","Grasim Industries Ltd., Rehla, Jharkhand",44136,44712,,1 5,ONG,Environmental Regulations And Compliance,Waste Management And Disposal Practices,Soil And Groundwater Sampling And Analysis,Air Quality Monitoring And Assessment,Hazardous Materials Handling And Storage,Environmental Risk Assessment And Management,Environmental Impact Assessment,Environmental Auditing And Reporting,Remediation Technologies And Strategies,Sustainable Development And Corporate Social Responsibility.,,,,,,,,
CNP,5,2637,KVG,K. V.George,APC,Nil,Particulate Matter Speciation Study At Ras Laffan Industrial City,"Qatar Design Consortium W.l.l. (qdc), Qatar.",43983,45382,,186,ONG,Environmental Science,Air Quality Monitoring,Chemical Analysis,Industrial Processes,Emissions Control,Atmospheric Chemistry,Statistical Analysis,Data Visualization,Pubic Health And Safety,Environmental Policy And Management.,,,,,,,,
GAP,1,2638,NAD,N. A. Dafale,EBGD,MBG,Respharm: Resolving The Fate And Studying The Impact Of Pharmaceutical Manufacturing Hub,"Department Of Biotechnology (dbt), New Delhi",44198,45292,,8 6184,ONG,Pharmaceutical Manufacturing Processes,Environmental Impact Assessment,Chemical Engineering,Waste Management,Water Treatment And Purification,Toxicology,Environmental Policy And Regulation,Industrial Ecology,Life Cycle Assessment,Sustainable Development,,,,,,,,
CNP,7,2639,"SB, SRS","S. Basha, S. R. Sanam",HZC,EM,"Environmental Audit Of The Secured Landfill Site Of Chemical Division, Grasim Industries Ltd., Nagda, Madhya Pradesh",Grasim Industries Ltd. Nagda (m.p.),44105,44651,44834,1 5,ONG,Environmental Science,Waste Management,Chemical Engineering,Soil Science,Water Quality Management,Air Quality Management,Environmental Law And Regulations,Environmental Monitoring And Assessment,Hazardous Waste Management,Environmental Impact Assessment.,,,,,,,,
CNP,7,2640,"SB,SRS","S. Basha, S. R. Sanam",HZC,EM,"Environmental Assessment For Evaluating The Strength Of Abandoned Secured Landfill Site Of M/s Grasim Industries Ltd., Nagda, Madhya Pradesh",Grasim Industries Ltd. Nagada (m.p.),44105,44651,44834,35,ONG,Environmental Science,Geology,Hydrogeology,Soil Science,Waste Management,Environmental Engineering,Environmental Law And Policy,Risk Assessment,Environmental Monitoring And Sampling,Geographic Information Systems And Remote Sensing.,,,,,,,,
CNP,3,2641,SK,S. Kosankar,EBGD,Nil,Assessment Of Ecology And Biodiversity Around The Region Of Gerva Mine Dist: Korba (c.g.),"South Eastern Coalfield Ltd., (secl) Gerva (c.g.)",44197,44957,45291,26,ONG,Ecology,Biodiversity,Environmental Science,Geology,Botany,Zoology,Conservation Biology,Wildlife Management,Environmental Impact Assessment,Geographic Information Systems,,,,,,,,
CNP,1,2647,HB,H. Bherwani,DRC,ECCA,"Environmental Carrying Capacity Of Eco-sensitive Zone: Sanjay Gandhi National Par, Mumba, Maharastra","Central Pollution Control Board(cpcb), Delhi",44221,44773,,8,ONG,Environmental Science,Ecology,Conservation Biology,Wildlife Management,Environmental Policy,Geographic Information Systems,Environmental Impact Assessment,Sustainable Development,Environmental Law,Environmental Economics,,,,,,,,
GAP,1,2643,"TVBPSRK,KK,HB","TVBPS R. Krishna, K. Krishnamurthi, H. Beharwani","HZC, HTC, DRC",EM,"Assessment Of Environmental Damages And Preparation Of Restoration Plan For Air, Water And Soil Environment Due To Styrene Gas Leakage Incident At Visakhapatnam","Central Pollution Control Board (c.p.c.b.), Delhi",44136,45230,,5 519,ONG,Environmental Science,Chemical Engineering,Toxicology,Environmental Law And Policy,Environmental Impact Assessment,Environmental Monitoring And Sampling,Environmental Remediation Technologies,Risk Assessment And Management,Air Pollution Control,Water Pollution Control,Environmental Restoration,,,,,,,
CNP,3,2644,"SK, NG, RV","S. Kaur, N. Goyal, R. Vijay",MZC,ESDMO,Environmental Audit And Detailed Study Of Emission At Bpcl Mumbai Refinery,"Bharat Petroleum Corporation Ltd.,(b.p.c.l), Mumbai",43983,44712,45291,47,ONG,Environmental Science,Chemical Engineering,Industrial Safety,Air Pollution Control,Water Pollution Control,Waste Management,Environmental Law And Regulations,Energy Management,Environmental Monitoring And Analysis,Sustainable Development,,,,,,,,
CNP,5,2645,"SG, SKG","S. Gulia, S. K. Goyal",DZC,EM,Development Of A Curriculum And Training Module For Air Quality Professionals,"Environment Defence Fund (edf), New York (usa)",44136,44926,,3 3,ONG,Air Quality Science And Technology,Environmental Policy And Regulations,Air Pollution And Its Effects On Human Health,Monitoring And Data Analysis Techniques,Emission Control Technologies,Risk Assessment And Management,Communication And Outreach Strategies,Curriculum Development And Instructional Design,Adult Learning Theory And Practice,Evaluation And Assessment Methods.,,,,,,,,
CNP,7,2646,"PVN,SPG","P. V. Nidheesh, S. P. Ghuge",EISD,EIDS,"Environmental Impact Assessment Study For The Proposed Petrochemical Complex Along With Marine Jetty At Cuddalore, Tamilnadu","Haldia Petrochemicals Ltd., Chennai",44197,45291,,60.5,ONG,Environmental Science,Chemical Engineering,Marine Biology,Geology,Hydrology,Air Quality Management,Noise Pollution Control,Waste Management,Environmental Law And Policy,Social Impact Assessment,,,,,,,,
CNP,3,2808,HB,H. Bherwani,CTMD,Nil,Quantitative Benefits Mapping And Assessment Of Reclamation Activities In Open Cast Mines Of Singareni Collieries Company Ltd Telangana,"Singareni Collieries Company Ltd, Bhandradri Kothagudem,(telangana)",44876,45607,,1 556,ONG,Mining Engineering,Environmental Science,Geology,Data Analysis And Statistics,Geographic Information Systems,Economics,Project Management,Risk Assessment And Management,Stakeholder Engagement And Communication,Regulatory Compliance And Policy Analysis.,,,,,,,,
CNP,,2648,"RB, YP","R. Biniwale, Y. Pakade",CTMD,E & E,"Third Party Assessment Of Expansion Of Bhanegaon Opencast Coal Mine Project, Expansion Of Gondegaon Extension Opencast Coal Mine Project, Expansion Of Pauni' Ii Opencast Coal Mining Project, Expansion Of Bhatadi Opencast Coal Mine","Wcl , Nagpur",44225,44651,45168,10,ONG,Mining Engineering,Environmental Science,Geology,Hydrology,Land Use Planning,Social Impact Assessment,Air Quality Monitoring,Noise Pollution Monitoring,Public Health And Safety,Legal And Regulatory Compliance.,,,,,,,,
CNP,1,2697,"AK,HB","A.Gupta, H. Bherwani",DZC,EM,"Harmonization And Optimization Of Ec Conditions For All Eia Project Activities, As Per Eia 2006 Notification","Ministry Of Environment, Forest & Climate Change",44348,44926,45291,6 5,ONG,Environmental Impact Assessment,Environmental Management Systems And Practices,Project Management And Planning,Risk Assessment And Management,Stakeholder Engagement And Communication,Environmental Monitoring And Reporting,Legal And Regulatory Compliance,Sustainability And Sustainable Development Principles,Climate Change Adaptation And Mitigation,Environmental Technology And Innovation.,,,,,,,,
CNP,7,2650,"PRP, PV","P. R. Pujari, P. Varma",WTMD,EM,"Geo - Physical Study Along Profiles In Zone Between The Mine Block And The Water Bodies Namely Bheden River , I.b River And The Hirakund Reservoir To Examine The Soundness Of The Barrier At Talabira Ii And Iii , Odisha",Talabira Odisha Mining Pvt. Ltd. Sambalpur (odisha),44013,45107,,2 99998,ONG,Geology,Hydrology,Geophysics,Mining Engineering,Environmental Science,Remote Sensing And Gis,Soil Mechanics,Structural Engineering,Water Resources Engineering,Risk Assessment And Management.,,,,,,,,
CNP,2,2651,"SB, SRS","S. Basha, S. R. Sanam",HZC,EM,"Restoration And Rejuvenation Of Vrushabhavathi River Valley , Bengaluru","Bruhat Bengaluru Mahanagara Palike (bbmp), Bengaluru",44197,45291,,179,ONG,Environmental Science,Water Management,Hydrology,Ecology,Geology,Civil Engineering,Landscape Architecture,Urban Planning,Community Development,Sustainable Development,,,,,,,,
GAP,5,2652,RD,R. Dhodapkar,DRC,PWM,India-australia Industry And Research Collaboration For Reducing Plastic Waste,"Csiro Payment Support Centre, Australia.",44181,45016,,20 4,ONG,Plastic Waste Management,Environmental Sustainability,Recycling Technologies,Circular Economy,Chemical Engineering,Polymer Science,Waste Reduction Strategies,International Trade And Commerce,Government Policies And Regulations,Innovation And Entrepreneurship.,,,,,,,,
TSP,2,2653,GRK,G. R.Kale,SHWM,S & HWM,Plasma Gasification Of Msw,District Water & Sanitation Cell Z.p. Kolhapur,44228,44592,,5,ONG,Waste Management,Plasma Physics,Chemical Engineering,Environmental Science,Energy Engineering,Material Science,Thermal Engineering,Process Control,Waste-to-energy Technologies,Economic Analysis,,,,,,,,
CNP,1,2654,"DM, PL","D. Majumdar, P. Labhasetwar","WTMD, KZC",EM,"Preparation Of Detailed Project Report (dpr) On Planing Designing And Developing National Level State -of -art R &d Water Quality Laboratory At Ncdwsq, Joka, Kolkata And Its Allied Work","Ncdwsq, Ministry Of Jal Shakti , New Delhi.",44197,44926,45107,3 45163,ONG,Water Quality Analysis,Laboratory Design And Layout,Equipment Selection And Procurement,Budgeting And Financial Planning,Project Management And Scheduling,Regulatory Compliance And Permitting,Environmental Health And Safety,Quality Control And Assurance,Staffing And Training,Data Management And Reporting.,,,,,,,,
CNP,7,2655,"TVBPSRK,MK,RS","TVBPS Rama Krishna, Morami Kalita & Ramya Sanam",HZC,EM,"Environmental Audit Of The Secured Landfill Site Of Chemical Division, Grasim Industries Ltd., Karwar Uttara Kannada, Karnataka","Grasim Industries Ltd., Karwar (karnataka).",44197,44926,,13,ONG,Environmental Science,Waste Management,Chemical Engineering,Geology,Hydrology,Soil Science,Ecology,Environmental Law And Regulations,Environmental Monitoring And Sampling,Environmental Impact Assessment.,,,,,,,,
CNP,7,2656,RS,R. Sivacoumar,CZC,EQA,"Eqa Of The Beach Resort & Theme Park Site Of M/s. Gem Stone Beach Resort (p) Ltd. Muttukadu, Chennai.","Gem Stone Beach Resort (p0 Ltd. Muttukadu, Chennai.",44197,44926,45107,13,ONG,Hospitality Management,Theme Park Operations,Beach Resort Management,Quality Assurance,Customer Service,Safety And Security,Environmental Sustainability,Food And Beverage Management,Marketing And Promotions,Financial Management And Budgeting,,,,,,,,
TSP,7,2657,RJK,R. J.Krupadam,EMD,Nil,Evaluation Of Biodegradability And Toxicity Of Residue Of Firecrackers,"The Tamilnadu Fireworks And Amorces, Sivakasi",44126,44460,44742,1384,ONG,Chemistry,Environmental Science,Toxicology,Microbiology,Analytical Chemistry,Environmental Engineering,Waste Management.,Biotechnology,Environmental Law,Public Health,,,,,,,,
CNP,2,2425,"AK, HB","A. Kapley, H. Bherwani",DRC,Nil,Enhanced Natural Attenuation For In-situ Nallah Treatment (part B),"State Mission For Clean Ganga, Allahabad (u.p.)",43466,44561,44926,4 18644,ONG,Environmental Science,Hydrogeology,Microbiology,Chemistry,Geology,Water Resource Management,Soil Science,Bioremediation,Environmental Engineering,Pollution Control And Prevention,,,,,,,,
CNP,7,2659,GKK`,G .K. Khadse,WTMD,Nil,Development Of Capacity On Climate Change In Water Resource Management In Maharashtra,"Giz Office (india), New Delhi",44197,44926,45107,01 09,ONG,Climate Science And Modeling,Water Management,Hydrology And Water Resource Modeling,Water Conservation And Efficiency Measures,Water Quality Monitoring And Management,Stakeholder Engagement And Community Participation,Climate Change Adaptation And Mitigation,Integrated Water Resource Management Approaches,Sustainable Development And Environmental Management,Project Management And Implementation Skills.,,,,,,,,
GAP,2,2660,SK,S. Kumar,TDC,Nil,Appraisal Of Options For Resource Recovery And Recycling From Sewage Sludge,"Rajiv Gandhi Science & Tech. Commission, Mumbai",44256,45351,,1 2024,ONG,Wastewater Treatment Processes,Sewage Sludge Characterization And Analysis,Resource Recovery Technologies,Recycling Technologies,Environmental Regulations And Policies,Economic Analysis And Feasibility Studies,Chemical And Biological Treatment Processes,Energy Recovery Technologies,Solid Waste Management,Life Cycle Assessment And Sustainability Analysis.,,,,,,,,
CNP,7,2661,"MK,SRS,MPR","M.Kalita, S.R.Sanam, Meganathan P.R",HZC,Nil,Installation Of Peizometers And Bioremediation Of Pesticides In Soil In The Primises Of Nichino Chemical India Pvt. Ltd.,Nichino Chemical India Pvt. Ltd.,44105,45199,,1 1,ONG,Geotechnical Engineering,Environmental Engineering,Soil Science,Hydrology,Chemistry,Microbiology,Biotechnology,Project Management,Pubic Health And Safety,Quality Control And Assurance.,,,,,,,,
